era,season_number,story_number,episode_number,episode_title,type,first_aired,uk_viewers,rating,duration
revived,1.0,157,1.0,Rose,episode,2005-03-26,10.81,76.0,45.0
revived,1.0,158,2.0,The End of the World,episode,2005-04-02,7.97,76.0,44.0
revived,1.0,159,3.0,The Unquiet Dead,episode,2005-04-09,8.86,80.0,44.0
revived,1.0,160a,4.0,Aliens of London,episode,2005-04-16,7.63,82.0,45.0
revived,1.0,160b,5.0,World War Three,episode,2005-04-23,7.98,81.0,42.0
revived,1.0,161,6.0,Dalek,episode,2005-04-30,8.63,84.0,45.0
revived,1.0,162,7.0,The Long Game,episode,2005-05-07,8.01,81.0,44.0
revived,1.0,163,8.0,Father's Day,episode,2005-05-14,8.06,83.0,45.0
revived,1.0,164a,9.0,The Empty Child,episode,2005-05-21,7.11,84.0,45.0
revived,1.0,164b,10.0,The Doctor Dances,episode,2005-05-28,6.86,85.0,45.0
revived,1.0,165,11.0,Boom Town,episode,2005-06-04,7.68,82.0,45.0
revived,1.0,166a,12.0,Bad Wolf,episode,2005-06-11,6.81,86.0,45.0
revived,1.0,166b,13.0,The Parting of the Ways,episode,2005-06-18,6.91,89.0,45.0
revived,2.0,167,Unknown,The Christmas Invasion,special,2005-12-25,9.84,84.0,60.0
revived,2.0,168,1.0,New Earth,episode,2006-04-15,8.62,85.0,45.0
revived,2.0,169,2.0,Tooth and Claw,episode,2006-04-22,9.24,83.0,45.0
revived,2.0,170,3.0,School Reunion,episode,2006-04-29,8.31,85.0,45.0
revived,2.0,171,4.0,The Girl in the Fireplace,episode,2006-05-06,7.9,84.0,45.0
revived,2.0,172a,5.0,Rise of the Cybermen,episode,2006-05-13,9.22,86.0,45.0
revived,2.0,172b,6.0,The Age of Steel,episode,2006-05-20,7.63,86.0,45.0
revived,2.0,173,7.0,The Idiot's Lantern,episode,2006-05-27,6.76,84.0,45.0
revived,2.0,174a,8.0,The Impossible Planet,episode,2006-06-03,6.32,85.0,45.0
revived,2.0,174b,9.0,The Satan Pit,episode,2006-06-10,6.08,86.0,45.0
revived,2.0,175,10.0,Love & Monsters,episode,2006-06-17,6.66,76.0,45.0
revived,2.0,176,11.0,Fear Her,episode,2006-06-24,7.14,83.0,45.0
revived,2.0,177a,12.0,Army of Ghosts,episode,2006-07-01,8.19,86.0,45.0
revived,2.0,177b,13.0,Doomsday,episode,2006-07-08,8.22,89.0,45.0
revived,3.0,178,Unknown,The Runaway Bride,special,2006-12-25,9.35,84.0,60.0
revived,3.0,179,1.0,Smith and Jones,episode,2007-03-31,8.71,88.0,45.0
revived,3.0,180,2.0,The Shakespeare Code,episode,2007-04-07,7.23,87.0,45.0
revived,3.0,181,3.0,Gridlock,episode,2007-04-14,8.41,85.0,45.0
revived,3.0,182a,4.0,Daleks in Manhattan,episode,2007-04-21,6.69,86.0,45.0
revived,3.0,182b,5.0,Evolution of the Daleks,episode,2007-04-28,6.97,85.0,45.0
revived,3.0,183,6.0,The Lazarus Experiment,episode,2007-05-05,7.19,86.0,45.0
revived,3.0,184,7.0,42,episode,2007-05-19,7.41,85.0,45.0
revived,3.0,185a,8.0,Human Nature,episode,2007-05-26,7.74,86.0,45.0
revived,3.0,185b,9.0,The Family of Blood,episode,2007-06-02,7.21,86.0,45.0
revived,3.0,186,10.0,Blink,episode,2007-06-09,6.62,87.0,45.0
revived,3.0,187a,11.0,Utopia,episode,2007-06-16,7.84,87.0,45.0
revived,3.0,187b,12.0,The Sound of Drums,episode,2007-06-23,7.51,87.0,45.0
revived,3.0,187c,13.0,Last of the Time Lords,episode,2007-06-30,8.61,88.0,52.0
revived,4.0,188,Unknown,Voyage of the Damned,special,2007-12-25,13.31,86.0,72.0
revived,4.0,189,1.0,Partners in Crime,episode,2008-04-05,9.14,88.0,50.0
revived,4.0,190,2.0,The Fires of Pompeii,episode,2008-04-12,9.04,87.0,50.0
revived,4.0,191,3.0,Planet of the Ood,episode,2008-04-19,7.5,87.0,45.0
revived,4.0,192a,4.0,The Sontaran Stratagem,episode,2008-04-26,7.06,87.0,45.0
revived,4.0,192b,5.0,The Poison Sky,episode,2008-05-03,6.53,88.0,45.0
revived,4.0,193,6.0,The Doctor's Daughter,episode,2008-05-10,7.33,88.0,45.0
revived,4.0,194,7.0,The Unicorn and the Wasp,episode,2008-05-17,8.41,86.0,45.0
revived,4.0,195a,8.0,Silence in the Library,episode,2008-05-31,6.27,89.0,45.0
revived,4.0,195b,9.0,Forest of the Dead,episode,2008-06-07,7.84,89.0,45.0
revived,4.0,196,10.0,Midnight,episode,2008-06-14,8.05,86.0,45.0
revived,4.0,197,11.0,Turn Left,episode,2008-06-21,8.09,88.0,50.0
revived,4.0,198a,12.0,The Stolen Earth,episode,2008-06-28,8.78,91.0,45.0
revived,4.0,198b,13.0,Journey's End,episode,2008-07-05,10.57,91.0,63.0
revived,Unknown,199,1.0,The Next Doctor,special,2008-12-25,13.1,86.0,60.0
revived,Unknown,200,2.0,Planet of the Dead,special,2009-04-11,9.75,88.0,60.0
revived,Unknown,201,3.0,The Waters of Mars,special,2009-11-15,10.32,88.0,60.0
revived,Unknown,202a,4.0,The End of Time – Part One,special,2009-12-25,12.04,87.0,60.0
revived,Unknown,202b,5.0,The End of Time – Part Two,special,2010-01-01,12.27,89.0,75.0
revived,5.0,203,1.0,The Eleventh Hour,episode,2010-04-03,10.09,86.0,65.0
revived,5.0,204,2.0,The Beast Below,episode,2010-04-10,8.42,86.0,45.0
revived,5.0,205,3.0,Victory of the Daleks,episode,2010-04-17,8.21,84.0,45.0
revived,5.0,206a,4.0,The Time of Angels,episode,2010-04-24,8.59,87.0,45.0
revived,5.0,206b,5.0,Flesh and Stone,episode,2010-05-01,8.5,86.0,45.0
revived,5.0,207,6.0,The Vampires of Venice,episode,2010-05-08,7.68,86.0,50.0
revived,5.0,208,7.0,Amy's Choice,episode,2010-05-15,7.55,84.0,45.0
revived,5.0,209a,8.0,The Hungry Earth,episode,2010-05-22,6.49,86.0,45.0
revived,5.0,209b,9.0,Cold Blood,episode,2010-05-29,7.49,85.0,45.0
revived,5.0,210,10.0,Vincent and the Doctor,episode,2010-06-05,6.76,86.0,45.0
revived,5.0,211,11.0,The Lodger,episode,2010-06-12,6.44,87.0,45.0
revived,5.0,212a,12.0,The Pandorica Opens,episode,2010-06-19,7.57,88.0,50.0
revived,5.0,212b,13.0,The Big Bang,episode,2010-06-26,6.7,89.0,55.0
revived,6.0,213,Unknown,A Christmas Carol,special,2010-12-25,12.11,83.0,60.0
revived,6.0,214a,1.0,The Impossible Astronaut,episode,2011-04-23,8.86,88.0,45.0
revived,6.0,214b,2.0,Day of the Moon,episode,2011-04-30,7.3,87.0,45.0
revived,6.0,215,3.0,The Curse of the Black Spot,episode,2011-05-07,7.85,86.0,45.0
revived,6.0,216,4.0,The Doctor's Wife,episode,2011-05-14,7.97,87.0,45.0
revived,6.0,217a,5.0,The Rebel Flesh,episode,2011-05-21,7.35,85.0,45.0
revived,6.0,217b,6.0,The Almost People,episode,2011-05-28,6.72,86.0,45.0
revived,6.0,218,7.0,A Good Man Goes to War,episode,2011-06-04,7.51,88.0,50.0
revived,6.0,219,8.0,Let's Kill Hitler,episode,2011-08-27,8.1,85.0,50.0
revived,6.0,220,9.0,Night Terrors,episode,2011-09-03,7.07,86.0,45.0
revived,6.0,221,10.0,The Girl Who Waited,episode,2011-09-10,7.6,85.0,45.0
revived,6.0,222,11.0,The God Complex,episode,2011-09-17,6.77,86.0,50.0
revived,6.0,223,12.0,Closing Time,episode,2011-09-24,6.93,86.0,45.0
revived,6.0,224,13.0,The Wedding of River Song,episode,2011-10-01,7.67,86.0,45.0
revived,7.0,225,Unknown,"The Doctor, the Widow and the Wardrobe",special,2011-12-25,10.77,84.0,60.0
revived,7.0,226,1.0,Asylum of the Daleks,episode,2012-09-01,8.33,89.0,50.0
revived,7.0,227,2.0,Dinosaurs on a Spaceship,episode,2012-09-08,7.57,87.0,45.0
revived,7.0,228,3.0,A Town Called Mercy,episode,2012-09-15,8.42,85.0,45.0
revived,7.0,229,4.0,The Power of Three,episode,2012-09-22,7.67,87.0,41.0
revived,7.0,230,5.0,The Angels Take Manhattan,episode,2012-09-29,7.82,88.0,45.0
revived,7.0,231,Unknown,The Snowmen,special,2012-12-25,9.87,87.0,60.0
revived,7.0,232,6.0,The Bells of Saint John,episode,2013-03-30,8.44,87.0,45.0
revived,7.0,233,7.0,The Rings of Akhaten,episode,2013-04-06,7.45,84.0,44.0
revived,7.0,234,8.0,Cold War,episode,2013-04-13,7.37,84.0,45.0
revived,7.0,235,9.0,Hide,episode,2013-04-20,6.61,85.0,45.0
revived,7.0,236,10.0,Journey to the Centre of the TARDIS,episode,2013-04-27,6.5,85.0,45.0
revived,7.0,237,11.0,The Crimson Horror,episode,2013-05-04,6.47,85.0,45.0
revived,7.0,238,12.0,Nightmare in Silver,episode,2013-05-11,6.64,84.0,45.0
revived,7.0,239,13.0,The Name of the Doctor,episode,2013-05-18,7.45,88.0,45.0
revived,Unknown,240,1.0,The Day of the Doctor,special,2013-11-23,12.8,88.0,77.0
revived,Unknown,241,2.0,The Time of the Doctor,special,2013-12-25,11.14,83.0,60.0
revived,8.0,242,1.0,Deep Breath,episode,2014-08-23,9.17,82.0,76.0
revived,8.0,243,2.0,Into the Dalek,episode,2014-08-30,7.29,84.0,45.0
revived,8.0,244,3.0,Robot of Sherwood,episode,2014-09-06,7.28,82.0,46.0
revived,8.0,245,4.0,Listen,episode,2014-09-13,7.01,82.0,48.0
revived,8.0,246,5.0,Time Heist,episode,2014-09-20,6.99,84.0,45.0
revived,8.0,247,6.0,The Caretaker,episode,2014-09-27,6.82,83.0,45.0
revived,8.0,248,7.0,Kill the Moon,episode,2014-10-04,6.91,82.0,45.0
revived,8.0,249,8.0,Mummy on the Orient Express,episode,2014-10-11,7.11,85.0,47.0
revived,8.0,250,9.0,Flatline,episode,2014-10-18,6.71,85.0,43.0
revived,8.0,251,10.0,In the Forest of the Night,episode,2014-10-25,6.92,83.0,45.0
revived,8.0,252a,11.0,Dark Water,episode,2014-11-01,7.34,85.0,46.0
revived,8.0,252b,12.0,Death in Heaven,episode,2014-11-08,7.6,83.0,57.0
revived,9.0,253,Unknown,Last Christmas,special,2014-12-25,8.28,82.0,60.0
revived,9.0,254a,1.0,The Magician's Apprentice,episode,2015-09-19,6.54,84.0,46.0
revived,9.0,254b,2.0,The Witch's Familiar,episode,2015-09-26,5.71,83.0,48.0
revived,9.0,255a,3.0,Under the Lake,episode,2015-10-03,5.63,84.0,43.0
revived,9.0,255b,4.0,Before the Flood,episode,2015-10-10,6.05,83.0,42.0
revived,9.0,256,5.0,The Girl Who Died,episode,2015-10-17,6.56,82.0,46.0
revived,9.0,257,6.0,The Woman Who Lived,episode,2015-10-24,6.11,81.0,46.0
revived,9.0,258a,7.0,The Zygon Invasion,episode,2015-10-31,5.76,82.0,46.0
revived,9.0,258b,8.0,The Zygon Inversion,episode,2015-11-07,6.03,84.0,46.0
revived,9.0,259,9.0,Sleep No More,episode,2015-11-14,5.61,78.0,45.0
revived,9.0,260,10.0,Face the Raven,episode,2015-11-21,6.05,84.0,47.0
revived,9.0,261,11.0,Heaven Sent,episode,2015-11-28,6.19,80.0,54.0
revived,9.0,262,12.0,Hell Bent,episode,2015-12-05,6.17,82.0,61.0
revived,9.0,263,Unknown,The Husbands of River Song,special,2015-12-25,7.69,82.0,56.0
revived,10.0,264,Unknown,The Return of Doctor Mysterio,special,2016-12-25,7.83,82.0,60.0
revived,10.0,265,1.0,The Pilot,episode,2017-04-15,6.68,83.0,50.0
revived,10.0,266,2.0,Smile,episode,2017-04-22,5.98,83.0,46.0
revived,10.0,267,3.0,Thin Ice,episode,2017-04-29,5.61,84.0,44.0
revived,10.0,268,4.0,Knock Knock,episode,2017-05-06,5.73,83.0,44.0
revived,10.0,269,5.0,Oxygen,episode,2017-05-13,5.27,83.0,45.0
revived,10.0,270,6.0,Extremis,episode,2017-05-20,5.53,82.0,49.0
revived,10.0,271,7.0,The Pyramid at the End of the World,episode,2017-05-27,5.79,82.0,46.0
revived,10.0,272,8.0,The Lie of the Land,episode,2017-06-03,4.82,82.0,45.0
revived,10.0,273,9.0,Empress of Mars,episode,2017-06-10,5.02,83.0,44.0
revived,10.0,274,10.0,The Eaters of Light,episode,2017-06-17,4.73,81.0,42.0
revived,10.0,275a,11.0,World Enough and Time,episode,2017-06-24,5.0,85.0,46.0
revived,10.0,275b,12.0,The Doctor Falls,episode,2017-07-01,5.3,83.0,60.0
revived,10.0,276,Unknown,Twice Upon a Time,special,2017-12-25,7.92,81.0,60.0
revived,11.0,277,1.0,The Woman Who Fell to Earth,episode,2018-10-07,10.96,83.0,64.0
revived,11.0,278,2.0,The Ghost Monument,episode,2018-10-14,9.0,82.0,49.0
revived,11.0,279,3.0,Rosa,episode,2018-10-21,8.41,83.0,50.0
revived,11.0,280,4.0,Arachnids in the UK,episode,2018-10-28,8.22,83.0,49.0
revived,11.0,281,5.0,The Tsuranga Conundrum,episode,2018-11-04,7.76,79.0,51.0
revived,11.0,282,6.0,Demons of the Punjab,episode,2018-11-11,7.48,80.0,50.0
revived,11.0,283,7.0,Kerblam!,episode,2018-11-18,7.46,81.0,49.0
revived,11.0,284,8.0,The Witchfinders,episode,2018-11-25,7.21,81.0,47.0
revived,11.0,285,9.0,It Takes You Away,episode,2018-12-02,6.42,80.0,49.0
revived,11.0,286,10.0,The Battle of Ranskoor Av Kolos,episode,2018-12-09,6.65,79.0,50.0
revived,11.0,287,Unknown,Resolution,special,2019-01-01,7.13,80.0,60.0
revived,12.0,288a,1.0,"Spyfall, Part 1",episode,2020-01-01,6.89,82.0,59.0
revived,12.0,288b,2.0,"Spyfall, Part 2",episode,2020-01-05,6.07,82.0,60.0
revived,12.0,289,3.0,Orphan 55,episode,2020-01-12,5.38,77.0,46.0
revived,12.0,290,4.0,Nikola Tesla's Night of Terror,episode,2020-01-19,5.2,79.0,50.0
revived,12.0,291,5.0,Fugitive of the Judoon,episode,2020-01-26,5.57,83.0,50.0
revived,12.0,292,6.0,Praxeus,episode,2020-02-02,5.22,78.0,49.0
revived,12.0,293,7.0,Can You Hear Me?,episode,2020-02-09,4.9,78.0,49.0
revived,12.0,294,8.0,The Haunting of Villa Diodati,episode,2020-02-16,5.07,80.0,49.0
revived,12.0,295a,9.0,Ascension of the Cybermen,episode,2020-02-23,4.99,81.0,49.0
revived,12.0,295b,10.0,The Timeless Children,episode,2020-03-01,4.69,82.0,65.0
revived,12.0,296,Unknown,Revolution of the Daleks,special,2021-01-01,6.35,79.0,71.0
revived,13.0,297a,1.0,The Halloween Apocalypse,episode,2021-10-31,5.79,76.0,50.0
revived,13.0,297b,2.0,War of the Sontarans,episode,2021-11-07,7.530059880239521,77.0,59.0
revived,13.0,297c,3.0,"Once, Upon Time",episode,2021-11-14,7.530059880239521,84.19047619047619,49.0
revived,13.0,297d,4.0,Village of the Angels,episode,2021-11-21,7.530059880239521,84.19047619047619,49.02958579881657
revived,13.0,297e,5.0,Survivors of the Flux,episode,2021-11-28,7.530059880239521,84.19047619047619,49.02958579881657
revived,13.0,297f,6.0,,episode,2021-12-05,7.530059880239521,84.19047619047619,49.02958579881657
